fecha,red,impresiones,visualizaciones,alcance,seguidores_nuevos,likes,comentarios,compartidos,mensajes,seguidores_total
2026-02-02,Facebook,,0,,0,,,,0,
2026-02-03,Facebook,,0,,0,,,,0,
2026-02-04,Facebook,,0,,0,,,,0,
2026-02-05,Facebook,,0,,0,,,,0,
2026-02-06,Facebook,,0,,0,,,,0,
2026-02-07,Facebook,,0,,0,,,,0,
2026-02-08,Facebook,,0,,0,,,,0,
2026-02-09,Facebook,,0,,0,,,,0,
2026-02-10,Facebook,,0,,0,,,,0,
2026-02-11,Facebook,,0,,0,,,,0,
2026-02-12,Facebook,,0,,0,,,,0,
2026-02-13,Facebook,,0,,0,,,,0,
2026-02-14,Facebook,,0,,0,,,,0,
2026-02-15,Facebook,,0,,0,,,,0,
2026-02-16,Facebook,,0,,0,,,,0,
2026-02-17,Facebook,,0,,0,,,,0,
2026-02-18,Facebook,,0,,0,,,,0,
2026-02-19,Facebook,,0,,0,,,,0,
2026-02-20,Facebook,,0,,0,,,,0,
2026-02-21,Facebook,,0,,0,,,,0,
2026-02-22,Facebook,,0,,0,,,,0,
2026-02-23,Facebook,,0,,0,,,,0,
2026-02-24,Facebook,,0,,0,,,,0,
2026-02-25,Facebook,,0,,0,,,,0,
2026-02-26,Facebook,,0,,0,,,,0,
2026-02-27,Facebook,,0,,0,,,,0,
2026-02-28,Facebook,,0,,0,,,,0,
2026-03-01,Facebook,,0,,0,,,,0,
2026-03-03,Facebook,,0,,0,,,,0,
2026-03-04,Facebook,,0,,0,,,,0,
2026-03-05,Facebook,,0,,0,,,,0,
2026-03-06,Facebook,,0,,0,,,,0,
2026-03-07,Facebook,,0,,0,,,,0,
2026-03-08,Facebook,,0,,0,,,,0,
2026-03-09,Facebook,,0,,0,,,,0,
2026-03-10,Facebook,,0,,0,,,,0,
2026-03-11,Facebook,,0,,0,,,,0,
2026-03-12,Facebook,,0,,0,,,,0,
